Afinidad electrÃ³nica,Potencial de IonizaciÃ³n,Electronegatividad,Potencial QuÃ­mico,Electrofilicidad,Dureza,Blandura,Homo ,Lumo,Poder electrodonador,poder electroaceptor,Electrofilicidad neta,Nucleofilicidad
1.4375,5.5425,3.49,-3.49,1.28,4.77,0.209643606,-5.5425,-1.4375,4.6,1.11,5.71,3.25
1.3075,5.5725,3.44,-3.44,1.2,4.94,0.20242915,-5.5725,-1.3075,4.42,0.98,5.4,3.22
2.2875,6.0125,4.15,-4.15,2.31,3.73,0.268096515,-6.0125,-2.2875,6.93,2.78,9.71,2.78
0.4575,6.4225,3.44,-3.44,0.99,5.96,0.167785235,-6.4225,-0.4575,4.09,0.64,4.73,2.37
0.8475,8.0125,4.43,-4.43,1.37,7.16,0.139664804,-8.0125,-0.8475,5.41,0.98,6.39,0.78
2.1875,6.4525,4.32,-4.32,2.19,4.26,0.234741784,-6.4525,-2.1875,6.81,2.49,9.3,2.34
0.8775,5.5825,3.23,-3.23,1.11,4.71,0.212314225,-5.5825,-0.8775,4.12,0.89,5.01,3.21
1.0875,6.3505,3.719,-3.719,1.314,5.263,0.1900057,-6.3505,-1.0875,4.817,1.098,5.915,2.442
0.9995,6.6545,3.827,-3.827,1.295,5.655,0.17683466,-6.6545,-0.9995,4.856,1.029,5.885,2.138
1.1745,6.3175,3.746,-3.746,1.364,5.143,0.194439043,-6.3175,-1.1745,4.923,1.177,6.1,2.475
0.9935,6.2585,3.626,-3.626,1.248,5.265,0.189933523,-6.2585,-0.9935,4.638,1.013,5.651,2.534
1.1175,5.9505,3.534,-3.534,1.293,4.833,0.206910821,-5.9505,-1.1175,4.654,1.12,5.774,2.842
1.0965,6.3095,3.703,-3.703,1.315,5.214,0.191791331,-6.3095,-1.0965,4.807,1.104,5.911,2.483
0.9365,5.9375,3.437,-3.437,1.181,5.001,0.199960008,-5.9375,-0.9365,4.394,0.957,5.351,2.855
